"No.","Time","Source","Destination","Protocol","Length","Info"
"358","22.083150","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","TCP","74","62020  >  53 [ACK] Seq=37 Ack=53 Win=66048 Len=0"
"359","22.091236","10.0.0.216","13.227.180.4","TCP","54","61984  >  443 [ACK] Seq=1001 Ack=40 Win=258 Len=0"
"360","22.091418","10.0.0.216","142.250.195.106","QUIC","1292","Initial, DCID=ea6b797c5c5eeae9, PKN: 5, PADDING, PING, PADDING"
"361","22.096144","142.250.195.174","10.0.0.216","QUIC","82","Initial, SCID=e6f9317ddbfd67a5, PKN: 1, ACK"
"362","22.098312","142.250.195.174","10.0.0.216","QUIC","1292","Initial, SCID=e6f9317ddbfd67a5, PKN: 2, ACK, PADDING"
"363","22.107725","142.250.195.106","10.0.0.216","QUIC","1292","Initial, SCID=ea6b797c5c5eeae9, PKN: 3, ACK, PADDING"
"364","22.121716","10.0.0.216","142.250.195.174","QUIC","1292","Initial, DCID=e6f9317ddbfd67a5, PKN: 5, PADDING, PING, PADDING"
"365","22.130103","13.227.180.4","10.0.0.216","TCP","1494","443  >  61984 [ACK] Seq=40 Ack=1001 Win=157 Len=1440 [TCP segment of a reassembled PDU]"
"366","22.130593","13.227.180.4","10.0.0.216","TLSv1.2","601","Application Data"
"367","22.130610","10.0.0.216","13.227.180.4","TCP","54","61984  >  443 [ACK] Seq=1001 Ack=2027 Win=258 Len=0"
"368","22.130676","13.227.180.4","10.0.0.216","TLSv1.2","85","Application Data"
"369","22.131502","10.0.0.216","13.227.180.4","TLSv1.2","89","Application Data"
"370","22.137152","10.0.0.216","142.250.195.106","QUIC","1292","Initial, DCID=ea6b797c5c5eeae9, PKN: 7, PADDING, PING, PADDING"
"371","22.138862","142.250.195.174","10.0.0.216","QUIC","1292","Initial, SCID=e6f9317ddbfd67a5, PKN: 3, ACK, PADDING"
"372","22.153682","142.250.195.106","10.0.0.216","QUIC","1292","Initial, SCID=ea6b797c5c5eeae9, PKN: 4, ACK, PADDING"
"373","22.160341","142.250.195.106","10.0.0.216","QUIC","1292","Initial, SCID=ea6b797c5c5eeae9, PKN: 5, CRYPTO, PADDING"
"374","22.160620","142.250.195.106","10.0.0.216","QUIC","332","Protected Payload (KP0)"
"375","22.160783","10.0.0.216","142.250.195.106","QUIC","120","Handshake, DCID=ea6b797c5c5eeae9"
"376","22.160968","10.0.0.216","142.250.195.106","QUIC","1288","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"377","22.160983","10.0.0.216","142.250.195.106","QUIC","1292","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"378","22.160995","10.0.0.216","142.250.195.106","QUIC","1292","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"379","22.161024","10.0.0.216","142.250.195.106","QUIC","182","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"380","22.161038","10.0.0.216","142.250.195.106","QUIC","1148","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"381","22.161053","10.0.0.216","142.250.195.106","QUIC","186","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"382","22.161066","10.0.0.216","142.250.195.106","QUIC","876","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"383","22.161442","142.250.195.106","10.0.0.216","QUIC","1002","Protected Payload (KP0)"
"384","22.161523","142.250.195.106","10.0.0.216","QUIC","71","Protected Payload (KP0)"
"385","22.161601","10.0.0.216","142.250.195.106","QUIC","74","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"386","22.161615","142.250.195.106","10.0.0.216","QUIC","66","Protected Payload (KP0)"
"387","22.166687","10.0.0.216","142.250.195.174","QUIC","1292","Initial, DCID=e6f9317ddbfd67a5, PKN: 7, PADDING, PING, PADDING"
"388","22.175085","13.227.180.4","10.0.0.216","TCP","60","443  >  61984 [ACK] Seq=2058 Ack=1036 Win=157 Len=0"
"389","22.175720","142.250.195.106","10.0.0.216","QUIC","162","Protected Payload (KP0)"
"390","22.176688","142.250.195.106","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"391","22.177604","142.250.195.106","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"392","22.178617","142.250.195.106","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"393","22.178684","142.250.195.106","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"394","22.180433","142.250.195.106","10.0.0.216","QUIC","71","Protected Payload (KP0)"
"395","22.180507","10.0.0.216","142.250.195.106","QUIC","73","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"396","22.183905","142.250.195.174","10.0.0.216","QUIC","1292","Initial, SCID=e6f9317ddbfd67a5, PKN: 4, ACK, PADDING"
"397","22.191696","142.250.195.174","10.0.0.216","QUIC","1292","Initial, SCID=e6f9317ddbfd67a5, PKN: 5, CRYPTO, PADDING"
"398","22.191973","142.250.195.174","10.0.0.216","QUIC","330","Protected Payload (KP0)"
"399","22.192124","10.0.0.216","142.250.195.174","QUIC","120","Handshake, DCID=e6f9317ddbfd67a5"
"400","22.192305","10.0.0.216","142.250.195.174","QUIC","1288","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"401","22.192321","10.0.0.216","142.250.195.174","QUIC","1292","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"402","22.192347","10.0.0.216","142.250.195.174","QUIC","1292","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"403","22.192380","10.0.0.216","142.250.195.174","QUIC","131","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"404","22.192394","10.0.0.216","142.250.195.174","QUIC","721","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"405","22.192477","10.0.0.216","142.250.195.174","QUIC","939","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"406","22.192531","142.250.195.174","10.0.0.216","QUIC","672","Protected Payload (KP0)"
"407","22.192571","10.0.0.216","142.250.195.174","QUIC","1288","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"408","22.192583","10.0.0.216","142.250.195.174","QUIC","805","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"409","22.192601","142.250.195.174","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"410","22.192663","10.0.0.216","142.250.195.174","QUIC","737","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"411","22.206906","142.250.195.174","10.0.0.216","QUIC","162","Protected Payload (KP0)"
"412","22.206972","142.250.195.106","10.0.0.216","QUIC","66","Protected Payload (KP0)"
"413","22.207016","10.0.0.216","142.250.195.174","QUIC","74","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"414","22.207062","10.0.0.216","142.250.195.106","QUIC","876","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"415","22.207800","142.250.195.174","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"416","22.208764","142.250.195.174","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"417","22.209803","142.250.195.174","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"418","22.209878","142.250.195.174","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"419","22.212779","142.250.195.174","10.0.0.216","QUIC","72","Protected Payload (KP0)"
"420","22.213888","142.250.195.174","10.0.0.216","QUIC","71","Protected Payload (KP0)"
"421","22.213967","10.0.0.216","142.250.195.174","QUIC","73","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"422","22.222797","142.250.195.106","10.0.0.216","QUIC","67","Protected Payload (KP0)"
"423","22.239368","142.250.195.174","10.0.0.216","QUIC","70","Protected Payload (KP0)"
"424","22.251381","142.251.222.14","10.0.0.216","UDP","288","443  >  49573 Len=246"
"425","22.258704","10.0.0.216","142.251.222.14","UDP","82","49573  >  443 Len=40"
"426","22.273974","10.0.0.216","142.250.195.174","QUIC","74","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"427","22.277615","142.251.222.14","10.0.0.216","UDP","68","443  >  49573 Len=26"
"428","22.283851","142.251.222.14","10.0.0.216","UDP","1190","443  >  49573 Len=1148"
"429","22.288636","142.250.195.174","10.0.0.216","QUIC","64","Protected Payload (KP0)"
"430","22.288748","10.0.0.216","142.250.195.174","QUIC","75","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"431","22.288787","10.0.0.216","142.251.222.14","UDP","82","49573  >  443 Len=40"
"432","22.292379","142.250.195.106","10.0.0.216","QUIC","1288","Protected Payload (KP0)"
"433","22.292625","142.250.195.106","10.0.0.216","QUIC","66","Protected Payload (KP0)"
"434","22.292717","10.0.0.216","142.250.195.106","QUIC","77","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"435","22.293918","142.250.195.106","10.0.0.216","QUIC","305","Protected Payload (KP0)"
"436","22.308031","142.251.222.14","10.0.0.216","UDP","68","443  >  49573 Len=26"
"437","22.320753","10.0.0.216","142.250.195.106","QUIC","74","Protected Payload (KP0), DCID=ea6b797c5c5eeae9"
"438","22.325302","142.250.195.174","10.0.0.216","QUIC","888","Protected Payload (KP0)"
"439","22.325469","10.0.0.216","142.250.195.174","QUIC","79","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"440","22.327166","142.250.195.174","10.0.0.216","QUIC","196","Protected Payload (KP0)"
"441","22.327281","10.0.0.216","142.250.195.174","QUIC","75","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"442","22.329707","142.250.195.174","10.0.0.216","QUIC","667","Protected Payload (KP0)"
"443","22.329824","10.0.0.216","142.250.195.174","QUIC","79","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"444","22.330906","142.250.195.174","10.0.0.216","QUIC","687","Protected Payload (KP0)"
"445","22.331926","142.250.195.174","10.0.0.216","QUIC","297","Protected Payload (KP0)"
"446","22.332076","142.250.195.174","10.0.0.216","QUIC","74","Protected Payload (KP0)"
"447","22.332542","10.0.0.216","142.250.195.174","QUIC","79","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"448","22.332958","142.250.195.106","10.0.0.216","QUIC","66","Protected Payload (KP0)"
"449","22.336974","142.250.195.174","10.0.0.216","QUIC","667","Protected Payload (KP0)"
"450","22.337090","10.0.0.216","142.250.195.174","QUIC","79","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"451","22.339078","142.250.195.174","10.0.0.216","QUIC","94","Protected Payload (KP0)"
"452","22.344805","142.250.195.174","10.0.0.216","QUIC","65","Protected Payload (KP0)"
"453","22.351898","142.250.195.174","10.0.0.216","QUIC","65","Protected Payload (KP0)"
"454","22.366791","10.0.0.216","142.250.195.174","QUIC","74","Protected Payload (KP0), DCID=e6f9317ddbfd67a5"
"455","22.630447","162.159.134.234","10.0.0.216","TLSv1.2","189","Application Data"
"456","22.634945","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","DNS","92","Standard query 0xc2ca HTTPS www.bing.com"
"457","22.635089","fe80::8d08:7b:e2d8:e6b3","fe80::1213:31ff:fea5:3d7c","DNS","92","Standard query 0x0e28 A www.bing.com"
