"No.","Time","Source","Destination","Protocol","Length","Info"
"10061","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1479979 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10062","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10063","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10064","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10065","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10066","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10067","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10068","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1481229 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10069","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1482479 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10070","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1483729 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10071","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1484979 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10072","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1486229 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10073","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1487479 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10074","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1488729 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10078]"
"10075","0.000194000","118.138.122.172","3.163.189.78","TCP","54","42147  >  443 [ACK] Seq=4052 Ack=1489979 Win=2096896 Len=0"
"10076","0.000220200","118.138.122.172","142.250.195.142","QUIC","74","Protected Payload (KP0), DCID=ed814b963f91763d"
"10077","0.001615000","3.163.189.78","118.138.122.172","TCP","1022","443  >  42147 [PSH, ACK] Seq=1489979 Ack=4052 Win=81408 Len=968 [TCP PDU reassembled in 10078]"
"10078","0.000000000","3.163.189.78","118.138.122.172","TLSv1.3","1304","Application Data"
"10079","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10080","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1492197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10081","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10082","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1493447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10083","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10084","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1494697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10085","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10086","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1495947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10087","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10088","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1497197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10089","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10090","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1498447 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10091","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10092","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1499697 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10093","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10094","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [ACK] Seq=1500947 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10095","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10096","0.000000000","3.163.189.78","118.138.122.172","TCP","1304","443  >  42147 [PSH, ACK] Seq=1502197 Ack=4052 Win=81408 Len=1250 [TCP PDU reassembled in 10117]"
"10097","0.000200500","118.138.122.172","3.163.189.78","TCP","54","42147  >  443 [ACK] Seq=4052 Ack=1490947 Win=2096128 Len=0"
"10098","0.000225600","118.138.122.172","3.163.189.78","TCP","54","42147  >  443 [ACK] Seq=4052 Ack=1503447 Win=2096896 Len=0"
"10099","0.004401600","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
"10100","0.000000000","142.250.195.142","118.138.122.172","QUIC","1292","Protected Payload (KP0)"
